quarter,runway_months,funding_stage,revenue_monthly_k,burn_rate_monthly_k,founder_experience,founder_background,sector,milestones_completed,staff_count,equity_given,outcome
5,29.4,series_b,33.21,102.87,3,first_time,E-commerce,3,4,40.0,1
1,36.0,seed,182.17,71.88,6,technical,Healthtech,0,3,24.7,1
6,36.0,angels,37.91,36.08,13,business,AI,2,3,10.7,1
8,36.0,bootstrap,43.5,40.6,14,technical,Fintech,3,0,4.2,1
7,36.0,series_a,84.21,91.87,6,business,Fintech,3,4,31.6,1
1,13.2,seed,11.94,82.33,3,business,Fintech,0,3,22.8,0
2,7.3,bootstrap,3.62,41.24,1,first_time,E-commerce,1,1,4.2,0
2,36.0,angels,23.29,35.52,3,first_time,AI,1,2,10.3,1
4,27.2,angels,7.53,37.83,1,technical,E-commerce,1,1,13.4,0
2,25.0,series_a,8.96,73.47,11,first_time,E-commerce,1,3,30.7,0
7,36.0,seed,263.51,67.84,10,business,SaaS,1,1,23.6,1
7,25.9,seed,22.52,63.17,12,business,Fintech,3,3,20.8,0
7,36.0,seed,71.61,48.14,5,business,Fintech,3,1,20.1,1
2,23.5,bootstrap,0.89,20.0,13,technical,Healthtech,0,1,0.8,0
1,36.0,angels,30.47,20.0,3,technical,Healthtech,0,3,13.1,1
8,25.9,bootstrap,7.21,20.0,4,business,SaaS,2,0,4.9,0
3,36.0,seed,48.54,63.02,14,technical,SaaS,1,1,24.9,1
6,36.0,angels,117.42,84.8,14,business,E-commerce,2,2,13.7,1
8,13.1,angels,23.31,76.95,9,first_time,Healthtech,2,0,14.1,1
1,36.0,bootstrap,32.22,20.33,10,business,Healthtech,0,1,4.4,1
1,11.7,bootstrap,8.93,37.25,11,technical,Fintech,1,0,2.6,1
1,36.0,angels,71.58,28.03,13,technical,AI,0,2,11.1,1
2,13.7,bootstrap,4.29,20.0,4,business,SaaS,0,1,3.3,0
1,36.0,bootstrap,33.54,20.0,2,first_time,Fintech,0,1,0.7,1
7,36.0,seed,117.14,61.62,3,technical,Fintech,2,4,24.2,1
5,17.8,angels,2.71,47.26,6,first_time,SaaS,2,3,12.1,1
8,11.4,angels,1.95,53.79,4,technical,E-commerce,2,1,11.3,0
7,36.0,angels,58.11,59.95,8,technical,E-commerce,1,3,14.2,0
8,36.0,series_a,47.59,74.95,3,technical,Healthtech,3,3,30.6,1
2,36.0,bootstrap,55.83,35.54,9,first_time,Healthtech,2,0,4.9,1
3,36.0,seed,427.39,48.59,11,business,SaaS,1,2,24.8,1
7,36.0,series_b,114.72,74.83,2,first_time,SaaS,3,2,43.0,0
2,36.0,seed,83.25,42.52,5,first_time,SaaS,1,1,23.6,1
1,17.9,angels,18.68,59.74,9,business,E-commerce,0,1,10.2,1
6,36.0,seed,303.48,59.93,1,technical,E-commerce,2,3,22.2,1
7,36.0,angels,55.54,21.93,10,first_time,SaaS,2,1,14.4,1
8,36.0,angels,40.47,49.05,12,first_time,Healthtech,1,2,10.1,1
8,36.0,angels,36.92,31.27,6,technical,AI,1,1,11.5,0
1,6.4,bootstrap,2.47,59.91,1,technical,SaaS,0,0,1.8,0
7,36.0,bootstrap,31.3,26.32,8,technical,E-commerce,1,0,3.4,1
7,16.6,angels,10.72,60.22,14,technical,Healthtech,2,3,13.5,1
6,3.3,bootstrap,5.58,51.33,5,technical,SaaS,2,0,0.3,0
7,36.0,angels,68.41,35.68,13,technical,Fintech,2,2,11.1,1
7,13.3,angels,4.06,51.14,14,technical,E-commerce,2,1,14.1,0
4,36.0,series_b,109.52,103.3,5,technical,E-commerce,3,3,41.0,1
1,5.2,bootstrap,24.92,36.73,9,first_time,Fintech,0,1,1.4,0
4,16.5,seed,7.41,70.42,1,business,E-commerce,1,1,20.8,1
2,36.0,angels,18.2,30.06,9,business,SaaS,1,2,13.8,1
1,36.0,bootstrap,41.44,43.31,14,business,Fintech,1,0,0.1,1
1,35.8,bootstrap,23.32,27.71,15,technical,Fintech,2,0,1.5,1
6,9.5,bootstrap,12.99,40.24,3,first_time,SaaS,1,0,2.7,0
5,10.3,bootstrap,6.65,48.8,10,first_time,SaaS,1,0,0.0,1
5,7.0,bootstrap,24.52,45.03,1,business,Healthtech,1,2,4.8,1
6,19.6,angels,23.88,55.23,5,technical,AI,1,1,14.3,0
5,36.0,angels,35.44,59.63,13,technical,SaaS,1,3,13.2,1
6,30.4,bootstrap,30.17,45.33,10,first_time,Healthtech,1,0,2.2,0
1,18.5,bootstrap,53.9,57.43,6,business,E-commerce,0,2,0.8,1
7,36.0,bootstrap,109.79,34.49,15,business,Fintech,1,2,2.8,1
4,36.0,angels,81.25,52.46,12,business,Healthtech,1,2,11.2,1
2,25.9,bootstrap,31.01,48.98,1,technical,Fintech,0,0,3.2,0
7,36.0,angels,222.67,42.64,2,business,Healthtech,2,3,10.7,1
6,22.7,bootstrap,9.5,20.0,10,technical,Fintech,0,2,3.6,1
1,7.8,bootstrap,20.12,42.4,14,technical,Healthtech,0,0,1.6,1
2,36.0,series_b,94.97,91.91,3,business,SaaS,1,2,42.5,1
1,36.0,bootstrap,28.65,20.0,9,business,Fintech,1,2,0.8,1
3,36.0,bootstrap,31.56,42.51,13,business,SaaS,1,0,1.3,1
1,36.0,bootstrap,88.03,56.47,13,technical,Healthtech,0,0,2.3,0
6,36.0,series_b,29.24,70.55,10,first_time,Healthtech,3,4,42.3,1
5,36.0,seed,70.38,80.33,15,technical,Healthtech,3,2,25.0,1
8,36.0,seed,41.03,26.94,15,business,Healthtech,2,1,21.7,1
6,28.7,series_b,28.86,89.0,13,first_time,E-commerce,3,2,40.4,0
5,4.1,bootstrap,4.6,62.61,11,technical,SaaS,1,0,2.6,0
5,36.0,series_b,56.09,90.08,15,first_time,SaaS,3,3,41.6,1
1,3.1,bootstrap,11.69,36.35,1,business,SaaS,1,1,4.4,0
1,36.0,seed,202.32,76.44,2,technical,SaaS,0,3,21.1,1
5,36.0,angels,27.3,24.25,8,technical,AI,1,2,14.3,0
1,36.0,angels,50.19,51.08,11,technical,E-commerce,1,2,13.3,1
1,36.0,series_b,158.5,95.96,14,first_time,SaaS,2,4,40.9,1
2,2.0,bootstrap,25.71,62.93,11,technical,SaaS,1,0,2.0,0
8,36.0,series_b,81.33,76.46,4,business,E-commerce,2,2,42.5,1
4,36.0,angels,137.41,44.28,14,first_time,SaaS,2,1,12.6,1
6,36.0,seed,186.56,51.07,2,technical,SaaS,1,3,22.0,1
4,36.0,series_b,117.42,79.48,2,first_time,SaaS,3,1,42.9,1
2,9.6,bootstrap,2.44,51.91,11,first_time,E-commerce,0,2,3.6,1
3,36.0,series_b,84.65,95.4,15,first_time,Fintech,1,3,42.5,0
1,34.9,angels,22.97,41.67,8,business,AI,1,1,13.0,1
7,36.0,seed,63.22,57.23,3,technical,AI,2,2,24.3,1
2,9.8,bootstrap,16.56,26.55,1,business,Healthtech,0,1,2.5,1
4,36.0,angels,43.68,42.89,15,technical,AI,0,1,12.1,1
8,36.0,seed,91.27,46.03,5,technical,Healthtech,2,4,21.2,0
5,36.0,angels,64.75,46.12,10,technical,E-commerce,3,1,10.7,0
4,36.0,bootstrap,29.69,29.61,5,first_time,Healthtech,0,1,1.5,0
5,36.0,bootstrap,37.32,23.63,4,first_time,AI,0,2,2.0,1
7,36.0,series_a,187.62,82.33,11,first_time,Healthtech,3,3,33.8,1
3,18.6,bootstrap,15.72,38.6,12,business,SaaS,0,0,1.1,0
6,36.0,seed,238.91,56.65,8,technical,AI,2,3,23.5,1
7,36.0,series_b,479.78,92.84,8,first_time,AI,3,3,40.4,1
5,7.1,bootstrap,9.75,67.38,8,business,Healthtech,0,1,0.8,0
4,36.0,bootstrap,64.57,66.81,9,first_time,SaaS,0,0,1.6,0
2,36.0,seed,93.2,49.19,13,business,SaaS,0,1,22.3,1
2,36.0,bootstrap,26.05,21.28,11,technical,Healthtech,0,2,0.9,0
8,23.0,angels,11.69,34.11,5,business,SaaS,1,3,10.6,0
5,36.0,seed,79.64,80.86,4,first_time,E-commerce,1,3,22.8,1
3,36.0,angels,32.75,44.02,11,business,AI,1,3,12.1,1
4,36.0,angels,310.16,53.6,10,technical,Fintech,2,2,12.1,1
5,36.0,seed,148.68,94.95,6,technical,AI,3,2,21.5,1
5,36.0,angels,45.66,49.84,13,business,SaaS,2,0,11.9,1
6,36.0,bootstrap,47.13,45.59,7,technical,E-commerce,1,0,0.9,0
3,25.4,angels,36.66,57.81,6,business,SaaS,2,1,11.4,1
6,25.5,series_a,10.75,71.18,9,technical,Fintech,2,2,32.7,0
4,36.0,seed,212.11,80.89,3,technical,AI,1,2,22.6,0
8,36.0,angels,52.11,37.25,11,technical,Fintech,2,4,14.5,1
2,5.2,bootstrap,11.1,55.1,14,technical,Fintech,0,1,4.2,1
2,36.0,bootstrap,34.32,26.19,15,business,AI,0,0,0.0,0
4,36.0,bootstrap,58.64,27.83,7,technical,AI,1,1,1.1,0
5,36.0,bootstrap,43.16,20.0,5,business,Healthtech,3,0,4.4,1
6,36.0,series_b,80.94,81.14,8,business,Healthtech,3,2,41.6,0
4,17.4,bootstrap,2.69,28.6,2,business,Healthtech,1,0,2.4,0
8,36.0,series_a,242.29,43.53,11,first_time,AI,3,4,33.4,1
4,5.6,bootstrap,19.15,31.5,7,technical,E-commerce,0,1,2.7,1
2,11.5,bootstrap,0.99,27.38,2,business,SaaS,0,1,0.0,0
1,10.9,angels,11.13,61.85,9,business,SaaS,0,2,11.0,1
8,6.4,bootstrap,1.5,41.34,11,technical,E-commerce,1,0,0.5,1
2,36.0,seed,102.18,54.39,4,first_time,Fintech,0,2,20.8,0
8,36.0,series_b,330.21,88.12,7,first_time,SaaS,3,4,40.7,1
3,36.0,series_a,155.78,76.48,14,technical,AI,2,3,33.1,1
1,9.6,bootstrap,6.32,57.29,11,business,SaaS,1,1,2.0,0
3,36.0,seed,235.58,52.67,12,business,Fintech,2,3,20.3,1
5,3.7,bootstrap,5.7,24.2,7,business,AI,0,1,0.4,1
4,36.0,series_a,226.51,63.07,8,technical,Healthtech,2,4,34.8,1
7,36.0,angels,50.01,27.77,8,business,AI,0,1,10.8,1
5,3.3,bootstrap,0.1,39.61,7,business,E-commerce,0,1,1.3,0
4,2.6,bootstrap,6.52,38.04,3,first_time,Fintech,0,0,2.9,1
6,3.9,bootstrap,3.21,54.24,1,business,AI,0,0,0.9,0
8,7.5,bootstrap,24.43,50.62,13,business,SaaS,1,1,1.0,0
4,36.0,series_a,173.46,115.96,9,technical,Fintech,1,3,30.4,1
2,36.0,seed,99.24,63.89,8,technical,Healthtech,2,1,24.9,0
4,36.0,series_b,309.67,91.09,9,technical,Healthtech,2,2,43.0,1
7,36.0,bootstrap,30.15,20.0,7,business,SaaS,1,1,2.6,1
2,10.1,angels,11.62,60.45,14,first_time,SaaS,1,1,14.4,0
8,36.0,bootstrap,36.37,36.78,8,first_time,Healthtech,1,1,3.0,0
5,36.0,angels,53.48,59.77,8,business,Healthtech,0,2,11.3,0
5,36.0,bootstrap,18.18,20.0,8,technical,AI,0,1,2.4,0
3,36.0,bootstrap,55.07,40.27,3,technical,SaaS,1,3,2.4,1
8,36.0,angels,258.26,53.08,3,technical,Healthtech,1,2,12.0,1
1,17.1,bootstrap,13.58,37.09,3,technical,Fintech,0,0,3.8,0
3,36.0,angels,42.12,39.75,4,first_time,E-commerce,1,2,10.5,0
4,36.0,seed,89.51,82.84,3,first_time,SaaS,1,3,20.8,1
4,12.5,bootstrap,38.48,65.75,4,business,Fintech,0,2,1.9,0
4,36.0,series_b,193.2,78.34,15,first_time,Fintech,2,4,40.4,1
2,10.7,angels,5.41,60.81,6,technical,Healthtech,2,2,14.9,1
2,36.0,series_a,0.05,36.83,12,business,Healthtech,2,3,32.5,0
1,36.0,seed,87.39,75.03,6,first_time,Fintech,0,4,20.3,0
5,36.0,seed,14.09,36.95,13,first_time,AI,0,2,23.0,1
3,36.0,seed,36.91,57.13,12,business,AI,1,3,23.9,1
5,36.0,series_a,105.12,60.3,13,first_time,SaaS,3,4,32.0,1
5,20.3,seed,13.76,61.77,5,first_time,E-commerce,3,4,22.4,0
6,36.0,bootstrap,47.32,47.58,2,business,E-commerce,0,1,3.5,0
5,36.0,bootstrap,23.92,20.0,5,technical,SaaS,1,2,1.2,0
6,22.2,seed,5.66,59.61,11,business,SaaS,2,3,23.0,0
5,1.9,bootstrap,0.43,27.3,10,first_time,SaaS,0,1,3.2,0
6,5.6,bootstrap,9.59,58.72,11,business,Fintech,0,2,4.0,0
5,4.4,bootstrap,11.1,41.48,15,technical,SaaS,1,0,4.5,1
3,36.0,angels,51.86,32.34,4,business,E-commerce,1,4,14.7,1
2,15.3,bootstrap,4.7,27.93,7,business,Healthtech,0,0,0.6,0
7,36.0,seed,69.5,88.34,8,technical,Fintech,3,1,24.1,1
3,36.0,seed,65.46,75.72,3,first_time,AI,2,2,23.4,0
5,36.0,series_a,74.81,66.23,10,business,Healthtech,0,2,31.9,1
2,36.0,bootstrap,74.29,30.99,1,business,E-commerce,0,0,4.6,1
4,36.0,angels,45.65,46.47,14,technical,AI,2,1,14.3,1
5,12.2,angels,0.1,41.93,2,technical,Fintech,2,3,13.9,0
6,36.0,angels,54.23,24.35,2,first_time,E-commerce,0,2,10.3,1
5,25.6,seed,10.1,54.84,3,business,Fintech,1,2,20.9,1
3,10.2,bootstrap,11.75,55.84,14,technical,AI,0,1,4.6,0
8,36.0,series_b,74.34,89.28,13,technical,Fintech,3,3,44.9,1
5,13.9,bootstrap,13.43,33.45,14,technical,Fintech,1,0,1.4,1
7,23.8,series_a,28.8,82.11,13,technical,SaaS,3,4,31.4,1
6,36.0,angels,82.3,83.27,14,first_time,E-commerce,2,1,13.1,0
5,32.9,bootstrap,24.39,35.13,8,business,E-commerce,1,0,0.4,0
8,36.0,seed,50.47,81.41,1,business,SaaS,3,1,23.0,1
2,36.0,bootstrap,58.49,26.03,7,first_time,AI,0,0,4.8,1
8,36.0,seed,67.28,61.11,4,technical,Fintech,1,2,21.5,0
7,36.0,angels,43.03,50.19,4,business,AI,1,0,13.7,0
5,33.4,bootstrap,11.1,23.39,11,business,AI,1,2,2.6,1
6,10.5,bootstrap,23.27,31.94,3,business,Fintech,0,0,1.4,0
5,28.1,seed,32.74,78.32,5,technical,AI,2,4,22.1,1
3,36.0,bootstrap,29.69,22.99,6,business,SaaS,0,1,2.8,1
7,36.0,series_a,54.59,80.0,1,first_time,Fintech,2,4,33.8,1
2,36.0,seed,54.21,75.63,11,business,Healthtech,2,2,22.7,1
3,36.0,seed,125.35,52.63,12,business,SaaS,2,3,24.6,1
5,6.2,bootstrap,1.32,51.43,9,business,E-commerce,0,1,0.6,0
7,20.2,seed,21.24,66.09,1,technical,SaaS,1,4,24.8,1
4,36.0,series_b,142.3,92.52,12,business,AI,1,4,42.8,1
4,7.6,bootstrap,4.23,20.0,7,first_time,E-commerce,1,1,2.0,0
1,36.0,bootstrap,21.05,29.4,4,technical,Fintech,1,1,0.4,1
1,36.0,bootstrap,37.42,40.57,15,first_time,Healthtech,0,2,1.5,0
1,8.2,angels,12.51,76.18,13,technical,Healthtech,0,1,12.2,0
1,14.8,seed,14.01,73.52,7,first_time,E-commerce,0,2,24.7,0
7,36.0,angels,55.63,66.89,7,business,Healthtech,3,1,13.8,0
7,36.0,angels,21.04,31.86,14,technical,SaaS,3,2,10.3,0
7,4.3,bootstrap,1.08,33.1,3,first_time,Fintech,2,2,1.6,0
1,2.9,bootstrap,10.09,53.31,7,first_time,SaaS,0,0,2.5,0
1,15.0,bootstrap,9.22,21.68,9,business,Healthtech,0,0,4.3,0
3,36.0,series_a,116.73,94.48,6,first_time,SaaS,3,3,33.9,1
5,36.0,seed,236.64,76.0,5,first_time,AI,1,1,21.1,1
3,24.6,angels,31.06,54.12,2,technical,Fintech,2,2,10.3,1
4,36.0,seed,51.6,60.07,5,technical,E-commerce,1,3,20.7,1
2,6.5,bootstrap,11.23,20.21,6,technical,Fintech,1,1,2.5,1
6,3.9,bootstrap,6.75,61.63,13,technical,SaaS,3,0,0.4,1
3,36.0,bootstrap,67.22,44.48,6,business,E-commerce,1,3,1.2,0
1,30.1,series_b,44.86,100.11,3,business,Fintech,1,2,44.1,1
6,36.0,seed,232.35,58.81,13,technical,Healthtech,2,1,22.0,1
8,33.9,seed,36.24,65.57,6,business,Healthtech,1,1,25.0,0
1,36.0,bootstrap,171.7,37.47,14,first_time,Fintech,0,2,3.8,1
4,2.6,bootstrap,9.91,41.0,2,first_time,E-commerce,1,0,1.3,0
7,19.4,seed,16.45,76.02,1,business,SaaS,2,1,20.0,0
6,36.0,angels,229.02,38.26,14,technical,Fintech,1,1,12.6,1
7,36.0,series_b,195.97,73.0,2,business,Fintech,2,4,43.5,1
4,36.0,seed,124.35,66.26,1,business,Fintech,2,3,22.3,1
3,36.0,angels,196.0,23.79,10,first_time,SaaS,2,1,14.5,1
6,36.0,seed,85.24,60.15,5,technical,Fintech,1,3,23.8,1
2,36.0,series_b,45.51,87.36,8,technical,Fintech,1,3,42.6,1
2,36.0,angels,35.64,57.38,7,first_time,Healthtech,1,1,10.1,0
5,11.2,seed,14.16,94.74,5,business,E-commerce,0,3,21.7,0
6,36.0,series_a,110.11,50.83,8,business,Healthtech,3,4,32.5,1
1,7.8,bootstrap,15.94,69.11,4,first_time,SaaS,0,1,1.3,0
5,22.1,series_a,15.66,76.5,4,business,Healthtech,2,3,34.2,0
3,5.2,bootstrap,16.29,40.22,4,first_time,SaaS,1,1,2.1,0
5,36.0,seed,23.61,43.78,2,business,Fintech,1,2,21.0,1
8,36.0,seed,133.63,79.95,8,first_time,Healthtech,2,2,23.9,0
1,36.0,seed,52.34,65.62,9,business,AI,0,3,23.0,1
8,36.0,angels,65.89,49.08,1,technical,E-commerce,1,2,11.0,1
4,36.0,seed,81.08,35.94,7,first_time,SaaS,2,3,22.7,1
7,3.1,bootstrap,6.93,36.11,12,first_time,E-commerce,3,0,3.5,0
4,36.0,bootstrap,60.07,47.69,1,technical,AI,0,2,2.2,1
3,10.5,bootstrap,4.66,31.46,5,technical,SaaS,1,0,1.5,1
7,18.1,angels,20.29,67.61,15,technical,SaaS,1,4,13.4,0
6,8.2,angels,1.55,66.99,7,first_time,Fintech,2,0,13.4,0
2,36.0,bootstrap,28.74,25.38,1,first_time,SaaS,0,1,0.1,0
6,15.6,series_a,18.35,103.93,8,technical,Healthtech,3,4,31.2,1
7,36.0,angels,80.63,50.68,7,business,E-commerce,3,3,13.2,1
4,34.7,angels,25.08,50.75,4,technical,E-commerce,1,3,11.1,0
8,17.5,angels,22.63,51.48,2,first_time,Fintech,2,0,14.8,0
6,4.1,bootstrap,1.99,36.04,14,first_time,E-commerce,1,0,0.8,0
3,36.0,seed,173.76,25.55,13,first_time,SaaS,2,2,23.7,1
1,36.0,angels,213.49,47.22,11,first_time,SaaS,0,1,15.0,1
6,14.8,bootstrap,9.88,20.0,1,technical,AI,0,0,1.7,0
2,32.6,series_b,59.59,119.4,14,technical,Healthtech,1,2,43.0,0
7,36.0,series_a,107.37,103.79,8,business,E-commerce,2,3,30.5,1
5,36.0,seed,62.67,77.78,8,first_time,Fintech,1,4,23.1,1
4,36.0,series_a,310.4,76.42,14,first_time,E-commerce,1,3,34.9,1
2,36.0,series_a,103.17,64.88,7,first_time,AI,3,4,34.9,1
6,36.0,bootstrap,92.23,25.14,4,technical,E-commerce,2,1,2.1,1
2,36.0,seed,176.64,94.14,4,technical,Fintech,1,4,24.1,0
4,36.0,seed,48.97,54.62,14,business,SaaS,1,3,24.1,1
7,36.0,bootstrap,15.23,20.0,9,technical,AI,0,0,1.6,0
8,21.7,bootstrap,39.55,50.45,9,technical,E-commerce,2,3,4.1,0
8,30.7,bootstrap,47.92,57.51,9,technical,SaaS,1,0,0.8,0
8,36.0,seed,68.47,89.89,4,first_time,E-commerce,3,2,24.9,1
5,11.1,seed,1.22,80.58,7,technical,Fintech,2,2,24.3,1
2,36.0,seed,98.81,83.02,15,technical,AI,2,2,22.6,0
7,36.0,bootstrap,48.45,35.79,3,business,Healthtech,0,0,1.9,0
7,24.0,bootstrap,4.35,20.0,15,business,AI,2,2,4.7,1
8,36.0,angels,92.95,50.42,5,technical,Healthtech,1,3,10.4,0
6,18.1,angels,26.39,59.32,5,business,AI,2,1,12.5,0
2,36.0,series_a,43.8,77.97,1,business,AI,0,4,32.4,0
5,36.0,series_a,94.94,77.29,10,technical,Healthtech,1,2,31.9,1
4,36.0,series_a,168.3,65.54,5,technical,Healthtech,2,3,30.6,1
7,36.0,series_a,58.89,64.97,7,first_time,AI,3,2,31.3,0
4,36.0,series_b,83.77,122.57,9,technical,AI,2,2,44.9,1
3,28.1,angels,52.86,78.12,10,first_time,E-commerce,0,1,14.0,1
1,36.0,bootstrap,89.73,34.96,15,business,AI,0,0,4.2,0
7,14.5,bootstrap,9.69,39.22,9,first_time,Fintech,2,0,2.5,0
7,33.3,angels,12.53,35.29,3,technical,E-commerce,2,2,13.3,0
1,2.6,bootstrap,24.93,44.64,11,technical,SaaS,1,1,2.5,0
4,6.8,bootstrap,16.53,61.39,1,business,AI,1,1,3.4,1
4,36.0,series_b,66.0,72.06,13,business,E-commerce,1,3,44.3,1
4,26.0,bootstrap,39.77,41.96,5,business,Fintech,1,1,1.2,0
8,36.0,series_b,141.77,103.09,11,first_time,Healthtech,3,4,44.8,1
2,16.7,seed,16.4,72.91,3,business,Healthtech,2,3,24.6,0
3,36.0,seed,330.29,89.64,7,technical,Fintech,2,4,22.1,0
2,36.0,seed,133.57,95.54,11,first_time,Fintech,1,4,24.9,1
2,5.2,bootstrap,3.53,31.5,10,business,SaaS,1,0,4.4,0
8,36.0,seed,131.99,75.1,1,first_time,Fintech,3,1,20.2,1
8,36.0,bootstrap,64.52,36.26,1,first_time,AI,0,0,0.2,0
1,36.0,series_b,208.2,85.52,15,technical,Healthtech,2,4,43.5,1
6,15.2,bootstrap,20.43,39.06,8,business,Healthtech,1,1,3.9,0
2,13.2,bootstrap,8.55,45.07,13,business,Healthtech,0,1,1.2,0
2,36.0,seed,204.35,68.25,2,business,Healthtech,0,2,22.5,1
3,36.0,seed,130.49,51.78,8,technical,SaaS,3,3,22.7,1
2,36.0,angels,122.5,43.05,9,first_time,E-commerce,1,1,12.2,1
4,36.0,seed,46.96,58.16,14,business,E-commerce,2,3,20.3,0
8,6.5,bootstrap,3.6,22.36,11,first_time,E-commerce,1,0,1.1,1
5,31.0,seed,33.83,69.7,10,technical,AI,3,3,24.1,1
6,36.0,bootstrap,40.21,41.27,5,technical,AI,2,1,0.4,1
4,12.5,bootstrap,19.33,49.69,15,technical,SaaS,0,2,3.1,0
1,14.1,bootstrap,15.52,22.14,5,first_time,Healthtech,0,0,3.2,0
1,36.0,bootstrap,20.75,26.34,5,first_time,Fintech,2,0,4.8,0
3,36.0,bootstrap,81.04,58.32,11,business,AI,0,2,4.9,1
2,36.0,angels,37.77,47.53,15,business,AI,1,2,14.7,0
7,36.0,bootstrap,48.13,35.45,13,technical,SaaS,2,1,2.7,0
7,6.3,bootstrap,3.6,32.37,3,technical,E-commerce,0,2,0.2,0
7,24.2,angels,32.76,67.0,13,business,SaaS,1,2,11.4,0
6,5.1,bootstrap,0.48,52.58,6,first_time,Healthtech,1,1,2.4,0
5,16.3,seed,11.24,81.7,4,first_time,AI,3,3,20.2,0
6,35.6,series_b,37.95,95.4,15,business,Fintech,3,2,40.2,1
4,36.0,angels,45.08,36.91,15,first_time,Healthtech,1,2,11.6,0
6,36.0,series_a,343.36,108.88,6,first_time,SaaS,2,4,31.9,1
7,36.0,bootstrap,40.42,47.84,1,first_time,AI,3,1,2.9,1
7,10.9,bootstrap,0.07,28.15,4,first_time,Fintech,2,0,4.7,0
5,14.2,seed,17.1,86.36,9,business,Healthtech,2,2,22.0,1
1,36.0,seed,211.32,56.97,1,technical,Healthtech,3,4,20.2,1
6,36.0,series_a,500.0,101.16,4,technical,E-commerce,2,3,32.7,1
3,3.6,bootstrap,36.67,57.17,3,technical,Fintech,0,1,1.8,1
6,36.0,seed,158.11,51.18,15,business,E-commerce,3,2,24.5,1
5,36.0,angels,60.15,58.73,6,technical,E-commerce,1,2,12.2,1
8,33.4,bootstrap,35.27,46.73,6,first_time,Fintech,0,0,1.6,0
3,8.0,bootstrap,49.34,74.22,7,first_time,Fintech,0,0,3.6,1
8,36.0,series_b,69.13,83.87,1,technical,E-commerce,3,3,42.5,1
7,1.4,bootstrap,8.64,56.49,9,technical,Fintech,3,1,2.8,1
3,36.0,series_a,48.34,80.26,14,technical,SaaS,2,2,30.8,1
4,36.0,seed,175.69,46.38,13,business,E-commerce,1,3,21.9,1
5,23.8,seed,22.37,63.2,4,first_time,Fintech,0,2,20.2,0
7,36.0,seed,255.41,65.04,1,technical,E-commerce,2,1,23.8,1
6,36.0,series_a,51.68,64.12,12,first_time,AI,3,3,31.2,1
7,11.1,bootstrap,1.44,39.68,13,first_time,Fintech,0,0,0.6,0
3,36.0,bootstrap,69.48,49.37,14,technical,Fintech,1,1,2.9,1
5,36.0,angels,87.97,53.57,9,first_time,SaaS,1,3,12.9,1
4,36.0,angels,137.18,41.87,8,first_time,Fintech,1,1,11.6,1
8,10.7,bootstrap,19.02,32.77,12,technical,E-commerce,2,0,4.8,1
3,14.3,bootstrap,12.14,34.93,11,technical,Healthtech,1,1,3.2,1
5,36.0,bootstrap,47.55,38.26,12,technical,Healthtech,2,0,4.6,0
1,9.3,bootstrap,23.4,51.65,5,first_time,Healthtech,0,1,1.5,0
7,6.4,bootstrap,13.34,39.08,14,first_time,Healthtech,2,3,2.8,1
4,36.0,series_a,75.45,58.96,1,technical,Healthtech,3,2,32.1,1
3,25.9,bootstrap,15.02,26.57,2,first_time,Healthtech,0,1,2.1,0
5,17.9,series_b,0.16,97.49,10,first_time,Healthtech,3,2,40.2,1
4,36.0,series_b,59.74,111.86,9,business,E-commerce,2,3,41.1,1
7,19.5,bootstrap,32.87,54.47,9,business,AI,1,2,4.3,0
5,10.7,seed,1.38,91.62,14,technical,SaaS,1,1,24.2,0
5,36.0,seed,55.14,66.96,14,business,AI,2,1,20.5,1
1,36.0,seed,63.27,76.45,11,technical,AI,1,3,20.1,0
1,9.8,bootstrap,1.51,20.0,3,business,E-commerce,0,0,0.5,0
4,22.6,bootstrap,31.54,41.45,2,technical,SaaS,2,0,3.2,0
8,36.0,bootstrap,87.34,20.0,3,business,Healthtech,1,1,1.2,1
8,36.0,seed,233.16,64.06,10,technical,Healthtech,2,1,23.8,1
6,16.9,series_b,28.21,140.45,11,technical,AI,3,1,40.0,1
6,20.6,seed,8.8,69.55,12,technical,SaaS,2,1,23.6,0
4,36.0,seed,121.13,52.04,2,business,AI,2,1,24.4,1
2,36.0,series_b,500.0,101.12,5,business,Fintech,1,3,40.2,1
1,18.5,seed,2.54,57.24,6,business,AI,1,3,24.3,1
3,12.0,bootstrap,10.91,20.59,10,first_time,Healthtech,2,1,4.6,0
3,19.1,series_a,23.7,111.55,1,first_time,AI,2,4,32.7,1
2,18.4,angels,24.09,66.0,13,technical,SaaS,2,2,11.4,1
3,36.0,bootstrap,37.61,40.18,2,first_time,Fintech,1,1,2.8,0
1,19.3,angels,3.27,44.12,8,business,E-commerce,1,1,11.6,0
5,36.0,series_b,117.84,90.34,14,business,Healthtech,2,3,44.7,1
8,2.1,bootstrap,2.92,58.14,3,business,Fintech,2,1,2.7,0
6,11.9,angels,0.48,54.6,11,technical,Fintech,2,2,14.0,0
4,26.4,bootstrap,3.96,20.0,9,first_time,Healthtech,1,2,3.0,1
4,2.8,bootstrap,1.14,71.31,13,technical,Healthtech,0,0,1.4,1
3,11.0,bootstrap,32.83,37.75,9,technical,SaaS,1,1,2.5,1
2,27.3,seed,28.18,70.15,13,technical,AI,1,3,24.4,1
